Species,Formula,Inchi
C4H7,C4H7,"InChI=1S/C4H7/c1-3-4-2/h3-4H,1H2,2H3"
C4H7+,C4H7+,"InChI=1S/C4H7/c1-3-4-2/h1H3,2H4/q+1"
C5H5N+,C5H5N+,
C5H6,C5H6,"InChI=1S/C5H6/c1-3-5-4-2/h1,4-5H,2H3"
H3C6NH+,C6H4N+,InChI=1S/C6H3N/c1-2-3-4-5-6-7/h1H3/p+1
c-C6H5,C6H5,InChI=1S/C6H5/c1-2-4-6-5-3-1/h1-5H
C6H5+,C6H5+,InChI=1S/C6H5/c1-2-4-6-5-3-1/h1-5H/q+1
H3C7N+,C7H3N+,InChI=1S/C7H3N/c1-2-3-4-5-6-7-8/h1H3/q+1
C7H4,C7H4,InChI=1S/C7H4/c1-3-5-7-6-4-2/h1-2H2
C7H4+,C7H4+,InChI=1S/C7H4/c1-3-5-7-6-4-2/h1-2H2/q+1
C8H3,C8H3,
C8H3+,C8H3+,"InChI=1S/C8H3/c1-3-5-7-8-6-4-2/h1H,2H2/q+1"
C9H2,C9H2,InChI=1S/C9H2/c1-3-5-7-9-8-6-4-2/h1H2
C9H2+,C9H2+,InChI=1S/C9H2/c1-3-5-7-9-8-6-4-2/h1H2/q+1
C9HN+,C9HN+,InChI=1S/C9HN/c1-2-3-4-5-6-7-8-9-10/h1H/q+1
CH3C6H,CH3C6H,"InChI=1S/C7H4/c1-3-5-7-6-4-2/h1H,2H3"
C10H2,C10H2,InChI=1S/C10H2/c1-3-5-7-9-10-8-6-4-2/h1-2H
C10H2+,C10H2+,InChI=1S/C10H2/c1-3-5-7-9-10-8-6-4-2/h1-2H/q+1
C3H9+,C3H9+,
C4H8,C4H8,"InChI=1S/C4H8/c1-3-4-2/h3H,1,4H2,2H3"
C4H8+,C4H8+,"InChI=1S/C4H8/c1-3-4-2/h3H,1,4H2,2H3/q+1"
C5H7,C5H7,
C5H7+,C5H7+,
C6H6,C6H6,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H
C7H5,C7H5,
C7H5+,C7H5+,"InChI=1S/C7H5/c1-3-5-7-6-4-2/h1H2,2H3/q+1"
C8H4,C8H4,
C8H4+,C8H4+,InChI=1S/C8H4/c1-3-5-7-8-6-4-2/h1-2H2/q+1
C9H2N+,C9H2N+,InChI=1S/C9HN/c1-2-3-4-5-6-7-8-9-10/h1H/p+1
C9H3,C9H3,
C9H3+,C9H3+,InChI=1S/C9H3/c1-3-5-7-9-8-6-4-2/h1H3/q+1
CH3C7N,CH3C7N,InChI=1S/C8H3N/c1-2-3-4-5-6-7-8-9/h1H3
C10H3+,C10H3+,
C4H9,C4H9,"InChI=1S/C4H9/c1-3-4-2/h1,3-4H2,2H3"
C4H9+,C4H9+,"InChI=1S/C4H9/c1-3-4-2/h1,3-4H2,2H3/q+1"
C5H8,C5H8,"InChI=1S/C5H8/c1-3-5-4-2/h3-5H,1H2,2H3"
C6H7,C6H7,
C6H7+,C6H7+,"InChI=1S/C6H7/c1-3-5-6-4-2/h1H3,2H4/q+1"
C7H6,C7H6,
C8H4N+,C8H4N+,InChI=1S/C8H3N/c1-2-3-4-5-6-7-8-9/h1H3/p+1
C8H5+,C8H5+,"InChI=1S/C8H5/c1-3-5-7-8-6-4-2/h1H2,2H3/q+1"
C9H3N+,C9H3N+,InChI=1S/C9H3N/c1-2-3-4-5-6-7-8-9-10/h1H3/q+1
C9H4,C9H4,
C9H4+,C9H4+,"InChI=1S/C9H4/c1-3-5-7-9-8-6-4-2/h1H,2H3/q+1"
C4H10,C4H10,"InChI=1S/C4H10/c1-3-4-2/h3-4H2,1-2H3"
C5H9,C5H9,"InChI=1S/C5H9/c1-3-5-4-2/h3,5H,1,4H2,2H3"
C5H9+,C5H9+,"InChI=1S/C5H9/c1-3-5-4-2/h3,5H,1,4H2,2H3/q+1"
C6H7N+,C6H7N+,
C6H8,C6H8,"InChI=1S/C6H8/c1-3-5-6-4-2/h1,5-6H,4H2,2H3/b6-5+"
C7H7,C7H7,
C7H7+,C7H7+,
C8H6,C8H6,
C8H6+,C8H6+,
C9H5+,C9H5+,"InChI=1S/C9H5/c1-3-5-7-9-8-6-4-2/h1H2,2H3/q+1"
C5H10,C5H10,"InChI=1S/C5H10/c1-3-5-4-2/h3H,1,4-5H2,2H3"
C6H7NH+,C6H7NH+,
C6H9,C6H9,
C7H8,C7H8,
C8H7+,C8H7+,
C5H11,C5H11,"InChI=1S/C5H11/c1-3-5-4-2/h1,3-5H2,2H3"
C6H10,C6H10,
C7H9,C7H9,
C9H7+,C9H7+,
C5H12,C5H12,"InChI=1S/C5H12/c1-3-5-4-2/h3-5H2,1-2H3"
C6H11,C6H11,
C7H10,C7H10,
C9H8+,C9H8+,
C6H12,C6H12,"InChI=1S/C6H12/c1-3-5-6-4-2/h3H,1,4-6H2,2H3"
C6H13,C6H13,"InChI=1S/C6H13/c1-3-5-6-4-2/h1,3-6H2,2H3"
C6H14,C6H14,"InChI=1S/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3"
C14H10,C14H10,InChI=1S/C14H10/c1-2-6-12-10-14-8-4-3-7-13(14)9-11(12)5-1/h1-10H
C14H10+,C14H10+,InChI=1S/C14H10/c1-2-6-12-10-14-8-4-3-7-13(14)9-11(12)5-1/h1-10H/q+1
C15H9+,C15H9+,
D,D,InChI=1S/H/i1+1
D2,D2,InChI=1S/H2/h1H/i1+1D
e-,e-,
F,F,InChI=1S/F
F+,F+,InChI=1S/F/q+1
Fe,Fe,InChI=1S/Fe
Fe+,Fe+,InChI=1S/Fe/q+1
FeH,FeH,
FO,FO,InChI=1S/FO/c1-2
FNO,FNO,InChI=1S/FNO/c1-2-3
FO2,FO2,InChI=1S/F2O/c1-3-2
H,H,InChI=1S/H
H-,H-,InChI=1S/H/q-1
H+,H+,InChI=1S/p+1
He,He,InChI=1S/He
He(23S),He,InChI=1S/He
He+,He+,InChI=1S/He/q+1
H2,H2,InChI=1S/H2/h1H
H2+,H2+,InChI=1S/H2/h1H/q+1
H2+(J=1),H2+,InChI=1S/H2/h1H/q+1
H2+(J=2),H2+,InChI=1S/H2/h1H/q+1
H2+(J=3),H2+,InChI=1S/H2/h1H/q+1
H2+(J=4),H2+,InChI=1S/H2/h1H/q+1
H2+(J=5),H2+,InChI=1S/H2/h1H/q+1
H2+(J=6),H2+,InChI=1S/H2/h1H/q+1
H2+(J=7),H2+,InChI=1S/H2/h1H/q+1
H2+(J=8),H2+,InChI=1S/H2/h1H/q+1
H2+(J=9),H2+,InChI=1S/H2/h1H/q+1
