name,smiles,source,detected_in_ism,molecular_charge,net_formal_charge,Exact_MW,Heavy_Atom_Count,Num_H_Donors,Num_H_Acceptors,Num_Rotatable_Bonds,Num_Aromatic_Rings,has_oxygen
C9H,[C+]#CC#C[C]=C=C=C=[CH-],KIDA,TRUE,neutral,0,109.007825,9,0,0,0,0,FALSE
C9H-,[C-]#CC#C[C-]=C=C=C=[CH+],KIDA,TRUE,negative,-1,109.0083736,9,0,0,0,0,FALSE
C9H+,[C+]#CC#C[C-]=C=C=C=[CH+],KIDA,TRUE,positive,1,109.0072765,9,0,0,0,0,FALSE
CH3C5N,CC#CC#CC#N,KIDA,TRUE,neutral,0,89.0265491,7,0,1,0,0,FALSE
CH3OCH4+,C[OH+]C,KIDA,TRUE,positive,1,47.04914126,3,0,0,0,0,TRUE
C10H,[C]#CC#CC#CC#CC#C,KIDA,TRUE,neutral,0,121.007825,10,0,0,0,0,FALSE
C10H-,[C-]#CC#CC#CC#CC#C,KIDA,TRUE,negative,-1,121.0083736,10,0,0,0,0,FALSE
C10H+,[C+]#CC#CC#CC#CC#C,KIDA,TRUE,positive,1,121.0072765,10,0,0,0,0,FALSE
C3H6OH+,CC(C)=[OH+],KIDA,TRUE,positive,1,59.04914126,4,0,0,0,0,TRUE
C3H8,CCC,KIDA,TRUE,neutral,0,44.062600255999996,3,0,0,0,0,FALSE
C4H7,C=C[CH]C,KIDA,TRUE,neutral,0,55.05477522,4,0,0,1,0,FALSE
C5H6,C#CC=CC,KIDA,TRUE,neutral,0,66.04695019,5,0,0,0,0,FALSE
H3C6NH+,CC#CC#CC#[NH+],KIDA,TRUE,positive,1,90.03382555,7,1,0,0,0,FALSE
c-C6H5,[c]1ccccc1,KIDA,TRUE,neutral,0,77.03912516,6,0,0,0,1,FALSE
C6H5+,[C+]1=CC=CC=C1,KIDA,TRUE,positive,1,77.03857658,6,0,0,0,0,FALSE
H3C7N+,CC#CC#C[C+]=C=[N],KIDA,TRUE,positive,1,101.0260005,8,0,0,0,0,FALSE
C7H4,C=C=C=C=C=C=C,KIDA,TRUE,neutral,0,88.03130013,7,0,0,0,0,FALSE
C7H4+,C=C=C=C=C=[C][CH2+],KIDA,TRUE,positive,1,88.03075155,7,0,0,0,0,FALSE
C8H3+,C#CC#C[C+]=C=C=C,KIDA,TRUE,positive,1,99.02292652,8,0,0,0,0,FALSE
C9H2,[C+]#CC#CC#CC#C[CH2-],KIDA,TRUE,neutral,0,110.0156501,9,0,0,0,0,FALSE
C9H2+,[C+]#CC#C[C]=C=C=C=C,KIDA,TRUE,positive,1,110.0151015,9,0,0,0,0,FALSE
C9HN+,[CH+]=[C]C#CC#CC#CC#N,KIDA,TRUE,positive,1,123.0103505,10,0,1,0,0,FALSE
CH3C6H,C#CC#CC#CC,KIDA,TRUE,neutral,0,88.03130013,7,0,0,0,0,FALSE
C10H2,C#CC#CC#CC#CC#C,KIDA,TRUE,neutral,0,122.0156501,10,0,0,0,0,FALSE
C10H2+,C#CC#CC#CC#C[C]=[CH+],KIDA,TRUE,positive,1,122.0151015,10,0,0,0,0,FALSE
C4H8,C=CCC,KIDA,TRUE,neutral,0,56.062600255999996,4,0,0,1,0,FALSE
C4H8+,[CH2+][CH]CC,KIDA,TRUE,positive,1,56.06205167608999,4,0,0,1,0,FALSE
C6H6,c1ccccc1,KIDA,TRUE,neutral,0,78.04695019,6,0,0,0,1,FALSE
C7H5+,C=C=C=[C+]C#CC,KIDA,TRUE,positive,1,89.03857658,7,0,0,0,0,FALSE
C8H4+,C=C=C=C=C=C=[C][CH2+],KIDA,TRUE,positive,1,100.0307515,8,0,0,0,0,FALSE
C9H2N+,C#CC#CC#CC#CC#[NH+],KIDA,TRUE,positive,1,124.0181755,10,1,0,0,0,FALSE
C9H3+,[C+]#CC#CC#CC#CC,KIDA,TRUE,positive,1,111.0229265,9,0,0,0,0,FALSE
CH3C7N,CC#CC#CC#CC#N,KIDA,TRUE,neutral,0,113.0265491,9,0,1,0,0,FALSE
C4H9,[CH2]CCC,KIDA,TRUE,neutral,0,57.07042529,4,0,0,1,0,FALSE
C4H9+,[CH2+]CCC,KIDA,TRUE,positive,1,57.06987671,4,0,0,1,0,FALSE
C5H8,C=CC=CC,KIDA,TRUE,neutral,0,68.06260026,5,0,0,1,0,FALSE
C8H4N+,CC#CC#CC#CC#[NH+],KIDA,TRUE,positive,1,114.0338255,9,1,0,0,0,FALSE
C8H5+,C=C=C=C=[C+]C#CC,KIDA,TRUE,positive,1,101.0385766,8,0,0,0,0,FALSE
