name,BDE_min_kJmol,BDE_mean_kJmol,BDE_bond_type_of_min,BDE_weak_bond_count,BDE_source,spin_tax_correction_kJmol,oxygen_radical_flag,ZPE_scaling_factor,radical_stability_score,BDE_min_bond_length_A
C4H8,412.124,412.124,C-H,0,literature,0.0,False,1.0,2.0,
C4H8+,239.55825901260684,317.0098324970693,C-H,8,xtb_corrected,-15.4,False,1.0,1.0,1.0960418319642111
C6H6,472.6136,472.6136000000001,C-H,0,literature,0.0,False,1.0,3.0,
C7H5+,404.60310291722817,409.5066443049885,C-H,0,xtb_corrected,-15.4,False,1.0,0.0,1.094162018955103
C8H4+,325.2939018586258,325.2957822128444,C-H,4,xtb_corrected,-15.4,False,1.0,0.0,1.0830559511988036
C9H2N+,484.34200794036764,557.4779877073544,N-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.0188124785620116
C9H3+,337.31307696957157,337.3130769713252,C-H,3,xtb_corrected,-15.4,False,1.0,0.0,1.0941600976369659
CH3C7N,429.7044467044095,429.7044467087873,C-H,0,xtb_corrected,-15.4,False,1.0,0.0,1.0941601528013203
C4H9,387.8768,387.8768,C-H,0,literature,0.0,False,1.0,0.0,
C4H9+,424.18254170966037,529.1839015120703,C-H,0,xtb_corrected,-15.4,False,1.0,1.0,1.095949141728815
C5H8,427.99525129525546,486.25979375190235,C-H,0,xtb_corrected,-15.4,False,1.0,0.0,1.0942668995632039
C8H4N+,420.74992234854165,437.3196124434962,C-H,0,xtb_corrected,-15.4,False,1.0,0.0,1.0941614552627628
C8H5+,387.5303208384143,399.63594134237167,C-H,0,xtb_corrected,-15.4,False,1.0,0.0,1.0941616455115262
C9H3N+,304.4227077404107,304.42270776229026,C-H,3,xtb_corrected,-15.4,False,1.0,0.0,1.094161056226844
C9H4+,339.0734645772682,408.28186307137867,C-H,3,xtb_corrected,-15.4,False,1.0,0.0,1.094161407435397
C4H10,508.0141484942109,521.0567704648454,C-H,0,xtb_corrected,-15.4,False,1.0,1.0,1.0962573754378242
C5H9,394.1328,394.1328,C-H,0,literature,0.0,False,1.0,2.0,
C5H9+,361.57297391781447,432.61378824829353,C-H,2,xtb_corrected,-15.4,False,1.0,1.0,1.0960010817213741
C6H8,321.7,321.7,C-H,8,literature,0.0,False,1.0,2.0,
C9H5+,399.0489791176064,399.21746548453257,C-H,0,xtb_corrected,-15.4,False,1.0,0.0,1.094161534196808
C5H10,430.8590870255152,506.91177724015336,C-H,0,xtb_corrected,-15.4,False,1.0,1.0,1.0966143078044168
C5H11,413.0,413.0,C-H,0,literature,0.0,False,1.0,0.0,
C5H12,413.0,413.0,C-H,0,literature,0.0,False,1.0,0.0,
C6H12,413.0,413.0,C-H,0,literature,0.0,False,1.0,2.0,
C6H13,399.572,399.57200000000006,C-H,0,literature,0.0,False,1.0,0.0,
C6H14,413.0,413.0,C-H,0,literature,0.0,False,1.0,0.0,
C14H10,422.584,422.584,C-H,0,literature,0.0,False,1.0,3.0,
C14H10+,422.584,422.584,C-H,0,literature,0.0,False,1.0,3.0,
H2O,497.8968,497.8968,O-H,0,literature,0.0,True,1.0,0.0,
H2O+,497.8968,497.8968,O-H,0,literature,0.0,True,1.0,0.0,
HCN,518.0,518.0,C-H,0,literature,0.0,False,1.0,3.0,
