Classical-Only (A),Classical + BDE (A+B),Classical + Independent Physics (A+C),Full (A+B+C),name,BDE_lit,BDE_min,bond_type,oxygen_radical_flag,has_oxygen
-0.10429060218337227,-0.056522115293093034,-0.10387718647075772,-0.0560477322149433,CH3NCO+,335.0,335.0,C-H,0,1
-0.054447693263536046,-0.018686547035849266,-0.053349302187785774,-0.017463342279402383,CH3CHO,372.0,372.0,C-H,0,1
0.07669921349054531,0.01895919293761228,0.05881939926354951,0.019071852917925458,C2H4O+,461.0,461.0,C-H,0,1
0.0008510088572588614,-0.0013256715716316592,0.0008030720020486548,-0.0015005288050389254,C2H5,420.5,420.5,C-H,0,0
-0.03761882423689533,-0.016318897075453975,-0.03774793426157963,-0.016165924317248503,CH2CHCN,390.0,390.0,C-H,0,0
-0.044167606694965666,-0.02385073592892839,-0.045054499780021295,-0.02416880008621014,CH2CCH2,381.6,381.6,C-H,0,0
0.004672505980602981,-0.00018669846153285263,0.0014728264491599141,-0.00040313427588012374,CH3CCH,416.0,416.0,C-H,0,0
0.014918566677337708,0.004889937069836758,0.015010028851797141,0.004892467641301135,C3H4+,436.0,436.0,C-H,0,0
-0.06953792468759357,-0.025902661473254707,-0.06784367508339129,-0.024740959883424285,C4H3,364.0,364.0,C-H,0,0
0.09501652698502694,0.03405185404234068,0.09704382447625282,0.033786815983601226,C5H2,531.0,531.0,C-H,0,0
0.10592602926542316,0.058684113328447474,0.11123734803854024,0.05838165742160761,HC5N+,561.49,561.49,C-H,0,0
-0.02484259398248101,-0.006264318733238294,-0.019173122368842055,-0.006352356370911139,C6H,405.0,405.0,C-H,0,0
-0.02809102170208977,-0.013630222998513908,-0.028082162106245256,-0.013555668943562083,CH3SH2+,397.0,397.0,C-H,0,0
-0.029329623841789942,-0.01411654569347709,-0.03060504252315388,-0.014180011336008658,CH3NH2,388.0,388.0,C-H,0,0
-0.028632089779800474,-0.011490891960494132,-0.030812741285417555,-0.011587677245010752,CH3OH2+,397.0,397.0,C-H,1,1
-0.03346059262860601,-0.015204405482922567,-0.03380333797619661,-0.015198123866673185,C2H3NH2,392.0,392.0,C-H,0,0
0.003196650849937921,-0.0003186989542629526,0.0026738177927492224,-0.0004513515895063769,C2H6,423.0,423.0,C-H,0,0
0.16720463997945245,0.14455044541657536,0.17340210925470023,0.14640178455042374,C3H3NH+,632.0,460.14657788932374,C-H,0,0
-0.0017814291075319844,-0.0016426101100623924,-0.002772500593098748,-0.0017435000518095656,C3H5,422.584,422.584,C-H,0,0
-0.0407820431805348,-0.01725036703328575,-0.041417752169034205,-0.017568830369721677,C4H4,381.5808,381.5808,C-H,0,0
-0.044089714574016,-0.01882426431067019,-0.04758665440534848,-0.019107498106284204,C4H4,381.5808,381.5808,C-H,0,0
0.08740702667515521,0.03389784237431748,0.09906196729797889,0.03328599591032688,C6H2,530.5312,530.5312,C-H,0,0
0.08092929071378174,0.04734218754993824,0.08346138271971526,0.0469063159948373,C6H2,530.5312,530.5312,C-H,0,0
-0.024670520811553853,-0.015541757721683869,-0.024993407242105636,-0.01583564773493995,CH3CH2OH,395.8064,395.8064,C-H,0,1
-0.02674334855951166,-0.011111439298477688,-0.026241238896640873,-0.011120308618723929,CH3CH2OH,395.8064,395.8064,C-H,0,1
-0.06102039670355186,-0.029504315436467365,-0.06296039956293864,-0.029913346552317588,C2H5CHO,358.5888,358.5888,C-H,0,1
-0.019857248063748667,-0.00950972175930298,-0.020087150688141264,-0.009463583463419134,C4H7,405.0944,405.0944,C-H,0,0
0.03996246169147355,0.014015515418878799,0.040459414350046075,0.014861537448518813,C6H5+,465.9,465.9,C-H,0,0
-0.0008489582073316626,0.001960999048188583,0.0010464642720937611,0.0021295686680002923,C7H4,419.8672,419.8672,C-H,0,0
0.10899029137804472,0.05154000359357669,0.10983172712216582,0.05191391307368054,C9H2,547.6848,547.6848,C-H,0,0
-0.009058586438260186,-0.003997012403905931,-0.009205772434623949,-0.004103421515730954,C4H8,412.124,412.124,C-H,0,0
0.04646779429964987,0.01912281096608126,0.046845517083193844,0.01981738003085498,C6H6,472.6136,472.6136,C-H,0,0
